iter	Passed	Remaining
761	2772	866
762	2784	864
763	2786	860
764	2789	856
765	2798	854
766	2800	850
767	2801	846
768	2803	842
769	2806	838
770	2809	834
771	2813	830
772	2816	826
773	2818	822
774	2827	820
775	2829	816
776	2831	812
777	2834	808
778	2842	806
779	2843	802
780	2845	797
781	2847	793
782	2849	789
783	2856	786
784	2858	782
785	2860	778
786	2862	774
787	2872	772
788	2875	768
789	2877	764
790	2879	760
791	2881	756
792	2889	754
793	2893	750
794	2895	746
795	2904	744
796	2907	740
797	2909	736
798	2910	732
799	2923	730
800	2924	726
801	2926	722
802	2927	718
803	2935	715
804	2937	711
805	2938	707
806	2940	703
807	2942	699
808	2950	696
809	2953	692
810	2955	688
811	2957	684
812	2967	682
813	2970	678
814	2972	674
815	2974	670
816	2981	667
817	2982	663
818	2983	659
819	2985	655
820	2986	651
821	2987	647
822	2989	642
823	2999	640
824	3001	636
825	3003	632
826	3005	628
827	3007	624
828	3008	620
829	3010	616
830	3011	612
831	3012	608
832	3014	604
833	3015	600
834	3022	597
835	3023	593
836	3025	589
837	3026	585
838	3027	581
839	3029	577
840	3030	572
841	3033	569
842	3035	565
843	3036	561
844	3037	557
845	3039	553
846	3040	549
847	3047	546
848	3048	542
849	3050	538
850	3051	534
851	3052	530
852	3054	526
853	3055	522
854	3060	519
855	3062	515
856	3063	511
857	3065	507
858	3066	503
859	3068	499
860	3069	495
861	3075	492
862	3077	488
863	3079	484
864	3080	480
865	3082	476
866	3083	473
867	3085	469
868	3087	465
869	3089	461
870	3090	457
871	3091	453
872	3093	449
873	3094	446
874	3098	442
875	3101	439
876	3103	435
877	3104	431
878	3107	427
879	3109	424
880	3117	421
881	3119	417
882	3121	413
883	3122	409
884	3123	405
885	3131	402
886	3133	399
887	3135	395
888	3136	391
889	3138	387
890	3139	384
891	3146	380
892	3148	377
893	3149	373
894	3151	369
895	3152	365
896	3160	362
897	3163	359
898	3164	355
899	3166	351
900	3168	348
901	3169	344
902	3180	341
903	3181	337
904	3183	334
905	3185	330
906	3191	327
907	3193	323
908	3195	319
909	3196	316
910	3198	312
911	3199	308
912	3207	305
913	3210	302
914	3212	298
915	3213	294
916	3215	291
917	3225	288
918	3226	284
919	3228	280
920	3230	277
921	3236	273
922	3239	270
923	3241	266
924	3243	262
925	3244	259
926	3245	255
927	3253	252
928	3256	248
929	3257	245
930	3259	241
931	3260	237
932	3269	234
933	3270	231
934	3272	227
935	3274	223
936	3275	220
937	3281	216
938	3283	213
939	3284	209
940	3286	206
941	3287	202
942	3288	198
943	3290	195
944	3298	191
945	3300	188
946	3301	184
947	3303	181
948	3305	177
949	3312	174
950	3314	170
951	3316	167
952	3318	163
953	3319	160
954	3327	156
955	3329	153
956	3330	149
957	3332	146
958	3333	142
959	3335	138
960	3344	135
961	3346	132
962	3347	128
963	3349	125
964	3351	121
965	3358	118
966	3361	114
967	3363	111
968	3365	107
969	3370	104
970	3374	100
971	3375	97
972	3377	93
973	3379	90
974	3380	86
975	3389	83
976	3391	79
977	3392	76
978	3394	72
979	3396	69
980	3404	65
981	3405	62
982	3407	58
983	3409	55
984	3410	51
985	3416	48
986	3418	45
987	3419	41
988	3420	38
989	3422	34
990	3423	31
991	3425	27
992	3426	24
993	3434	20
994	3435	17
995	3437	13
996	3438	10
997	3440	6
998	3447	3
999	3450	0
